,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
aforesaid,0,0,0,2,0,0
speculated,0,0,0,1,0,0
matures,0,0,0,4,0,0
rending,0,0,0,1,0,0
dithect,0,0,0,1,0,0
dietech,0,0,0,1,0,0
bueru,0,0,0,3,0,0
escrowed,0,0,0,23,0,0
identifies,0,0,0,2,2,2
escrowing,0,0,0,6,0,0
cm,0,0,0,37,7,0
closeting,0,0,0,1,0,0
cardnial,0,0,0,2,0,0
balme,0,0,0,1,0,0
nastiest,0,0,0,1,0,0
txt,0,0,0,3,1,0
rowlett,0,0,0,1,0,0
kuddos,0,0,0,1,0,0
freaking,0,0,0,2,1,0
tongue,0,0,0,1,0,0
recast,0,0,0,32,0,0
cast,0,0,0,3,1,0
supervises,0,0,0,1,0,0
servicers,0,0,0,46,3,6
conceived,0,0,0,2,0,0
tangible,0,0,0,3,1,5
respa,0,0,0,76,7,0
sl,0,0,0,282,6,0
interagency,0,0,0,4,0,0
enumerates,0,0,0,1,0,0
hoepa,0,0,0,3,0,0
mortgagesxxxx,0,0,0,1,0,0
incorporated,0,0,0,3,6,1
ecoa,0,0,0,2,0,0
cont,0,0,0,2,3,0
dish,0,0,0,1,8,1
verb,0,0,0,1,0,0
garner,0,0,0,1,2,0
staffing,0,0,0,1,0,0
securitization,0,0,0,14,8,0
infraction,0,0,0,3,2,2
iceberg,0,0,0,2,0,0
sewer,0,0,0,6,0,0
skirting,0,0,0,2,1,0
derived,0,0,0,5,4,2
emphasis,0,0,0,3,2,3
vanderbilt,0,0,0,7,0,0
conforms,0,0,0,1,0,0
conform,0,0,0,3,0,0
reo,0,0,0,7,1,0
natonstar,0,0,0,1,0,0
impartial,0,0,0,1,0,1
substitution,0,0,0,5,4,0
fannie,0,0,0,22,1,0
mae,0,0,0,21,7,0
doubtful,0,0,0,2,1,1
happended,0,0,0,2,0,0
substituting,0,0,0,3,0,0
abandon,0,0,0,8,3,0
blessed,0,0,0,3,1,0
gang,0,0,0,2,0,1
appraise,0,0,0,11,0,0
constructed,0,0,0,4,0,2
coating,0,0,0,1,0,0
cheapest,0,0,0,1,0,0
ombudsman,0,0,0,25,16,2
deadbeat,0,0,0,4,6,0
inacurate,0,0,0,1,0,0
revolved,0,0,0,1,0,0
doomed,0,0,0,2,0,0
abbreviation,0,0,0,1,0,0
breakage,0,0,0,2,0,0
inefficiency,0,0,0,6,0,1
astonishing,0,0,0,2,0,0
packed,0,0,0,2,1,0
addmendment,0,0,0,1,0,0
rescheduled,0,0,0,6,1,0
halted,0,0,0,2,1,0
nessesary,0,0,0,1,0,0
undertake,0,0,0,1,1,0
neglecting,0,0,0,4,1,2
dig,0,0,0,5,1,0
exceptional,0,0,0,3,2,0
stern,0,0,0,5,1,0
transferee,0,0,0,3,0,0
elapse,0,0,0,2,1,0
owen,0,0,0,4,0,0
remodel,0,0,0,2,0,0
transmitted,0,0,0,9,0,2
asc,0,0,0,90,0,0
preservation,0,0,0,33,0,0
impounds,0,0,0,10,0,0
mandating,0,0,0,2,0,0
chart,0,0,0,2,1,1
equated,0,0,0,1,0,0
finalization,0,0,0,3,0,0
condominium,0,0,0,15,0,0
snarky,0,0,0,2,0,0
purgatory,0,0,0,2,0,0
hell,0,0,0,3,0,0
freaked,0,0,0,1,2,0
soooooo,0,0,0,1,0,0
assigmnet,0,0,0,1,0,0
purporting,0,0,0,4,3,2
rmbs,0,0,0,6,0,0
pooling,0,0,0,6,3,0
psa,0,0,0,11,2,0
mortagage,0,0,0,8,0,2
sceduled,0,0,0,1,0,0
shortyly,0,0,0,1,0,0
duel,0,0,0,7,0,0
rtr,0,0,0,16,0,0
proviso,0,0,0,1,0,0
reassigned,0,0,0,7,3,0
supplemented,0,0,0,2,0,1
spoc,0,0,0,26,0,0
boilerplate,0,0,0,6,0,0
fold,0,0,0,3,1,1
adversarial,0,0,0,2,2,0
occupying,0,0,0,4,1,0
paystubs,0,0,0,34,0,0
painstaking,0,0,0,1,0,0
homeequity,0,0,0,2,0,0
mychapter,0,0,0,1,0,0
sevenmonths,0,0,0,1,0,0
asit,0,0,0,1,0,0
xxxxmortgage,0,0,0,1,0,0
cannotunderstand,0,0,0,1,0,0
timeagain,0,0,0,1,0,0
easilymake,0,0,0,1,0,0
practiceespecially,0,0,0,1,0,0
planand,0,0,0,1,0,0
asimple,0,0,0,1,0,0
thefinancial,0,0,0,1,0,0
thechapter,0,0,0,1,0,0
givenvarious,0,0,0,1,0,0
iwas,0,0,0,3,0,0
designation,0,0,0,2,1,3
beremoved,0,0,0,2,0,0
arequest,0,0,0,1,0,0
notedthat,0,0,0,1,0,0
tofax,0,0,0,1,0,0
okxxxx,0,0,0,1,0,0
faxon,0,0,0,2,0,0
becontacting,0,0,0,1,0,0
thetreatment,0,0,0,1,0,0
wfhm,0,0,0,32,0,0
reconveyance,0,0,0,8,0,0
invisible,0,0,0,1,0,1
overlay,0,0,0,3,0,0
loancare,0,0,0,88,2,0
disbanded,0,0,0,1,0,0
affirmative,0,0,0,5,2,0
affiant,0,0,0,1,0,0
magnitude,0,0,0,4,1,0
erosion,0,0,0,1,0,0
moral,0,0,0,6,0,0
observe,0,0,0,1,0,1
certify,0,0,0,4,4,4
initialed,0,0,0,1,1,0
informationin,0,0,0,1,0,0
rov,0,0,0,1,0,0
usbankcorp,0,0,0,3,0,0
phh,0,0,0,89,0,0
quicken,0,0,0,104,0,0
countered,0,0,0,6,1,0
supersede,0,0,0,2,0,0
churned,0,0,0,1,0,0
barn,0,0,0,2,0,0
berm,0,0,0,5,0,0
misspoke,0,0,0,2,0,0
vastly,0,0,0,2,0,0
inadequately,0,0,0,2,1,0
crude,0,0,0,1,0,0
embrace,0,0,0,21,0,0
mip,0,0,0,40,0,0
streamline,0,0,0,22,0,1
steeling,0,0,0,1,0,1
mutable,0,0,0,1,1,0
dil,0,0,0,5,0,0
spinning,0,0,0,2,1,1
appologized,0,0,0,1,0,0
coorect,0,0,0,1,0,0
handout,0,0,0,4,0,0
cival,0,0,0,1,0,0
responsethe,0,0,0,1,0,0
fka,0,0,0,1,2,0
cerificateholders,0,0,0,1,0,0
knoweledge,0,0,0,1,0,0
loacated,0,0,0,1,0,0
vacant,0,0,0,38,4,0
comfirmation,0,0,0,1,0,0
cambe,0,0,0,1,0,0
nka,0,0,0,1,0,0
poetetially,0,0,0,1,0,0
isue,0,0,0,1,0,0
winterized,0,0,0,3,0,0
xxxxxxxxxxxxplease,0,0,0,1,0,0
billpayer,0,0,0,1,0,0
retraining,0,0,0,3,0,0
injunction,0,0,0,4,7,1
reposted,0,0,0,4,0,0
refuted,0,0,0,1,0,0
stepstools,0,0,0,1,0,0
abundantly,0,0,0,1,2,0
vast,0,0,0,1,0,0
judiciary,0,0,0,12,1,1
prejudiced,0,0,0,1,0,0
withholds,0,0,0,1,0,0
freeloader,0,0,0,1,0,0
abnegates,0,0,0,1,0,0
hid,0,0,0,2,0,0
spanning,0,0,0,1,0,0
detached,0,0,0,2,0,0
tripled,0,0,0,3,2,0
cow,0,0,0,1,0,0
citizensone,0,0,0,2,0,0
avm,0,0,0,1,0,0
centered,0,0,0,2,0,0
finagled,0,0,0,1,0,1
negate,0,0,0,1,0,0
unclean,0,0,0,2,0,0
computerized,0,0,0,4,0,2
inconsistancies,0,0,0,1,0,0
carrington,0,0,0,112,1,0
disqualifiers,0,0,0,1,0,0
criteriea,0,0,0,1,0,0
modifacation,0,0,0,2,0,0
monthy,0,0,0,2,0,0
hanger,0,0,0,1,0,0
unsealed,0,0,0,2,0,0
researchng,0,0,0,1,0,0
disconcerting,0,0,0,2,1,0
refute,0,0,0,1,2,1
unintended,0,0,0,1,0,0
confront,0,0,0,1,1,1
ag,0,0,0,3,4,5
virtue,0,0,0,4,0,0
rcs,0,0,0,15,2,0
forclosre,0,0,0,1,0,0
attemtps,0,0,0,1,0,0
pfd,0,0,0,3,0,0
pfdh,0,0,0,1,0,0
swift,0,0,0,1,1,0
interfacing,0,0,0,1,0,0
loop,0,0,0,8,2,4
andinformation,0,0,0,1,0,0
morter,0,0,0,1,0,0
ougt,0,0,0,1,0,0
tous,0,0,0,1,0,0
rebounded,0,0,0,1,0,0
uncertainty,0,0,0,3,0,0
caved,0,0,0,1,0,0
entail,0,0,0,3,0,0
impounding,0,0,0,2,0,0
analyize,0,0,0,1,0,0
uploading,0,0,0,6,0,9
penalites,0,0,0,1,0,0
ative,0,0,0,1,0,0
debauchery,0,0,0,1,0,0
gloss,0,0,0,1,0,0
atte,0,0,0,1,0,0
mpted,0,0,0,1,0,0
moot,0,0,0,4,2,0
overriding,0,0,0,1,0,0
ra,0,0,0,1,1,0
representati,0,0,0,1,0,0
unimportant,0,0,0,1,0,0
alluded,0,0,0,1,1,0
analyzed,0,0,0,2,0,0
fi,0,0,0,9,0,1
bursting,0,0,0,1,0,0
berate,0,0,0,1,1,0
originate,0,0,0,3,2,2
misapplication,0,0,0,5,1,0
dovenmuehle,0,0,0,5,0,0
acept,0,0,0,1,0,0
callous,0,0,0,1,0,0
setrus,0,0,0,2,0,0
spiraled,0,0,0,1,0,0
filebankruptcy,0,0,0,1,0,0
anew,0,0,0,4,0,0
refinancehouse,0,0,0,1,0,0
payt,0,0,0,1,0,0
referthem,0,0,0,1,0,0
asto,0,0,0,1,0,0
amerisave,0,0,0,19,0,0
stoppedright,0,0,0,1,0,0
xxxxxxxxprevious,0,0,0,1,0,0
xxxxxxxxoriginal,0,0,0,1,0,0
deeded,0,0,0,4,0,0
tendering,0,0,0,1,0,0
engineer,0,0,0,4,0,0
mortgsge,0,0,0,1,0,0
leiu,0,0,0,3,0,0
boss,0,0,0,3,0,0
nci,0,0,0,3,0,0
delinguency,0,0,0,1,0,0
afoul,0,0,0,1,0,0
lingering,0,0,0,2,1,0
recognizes,0,0,0,3,2,0
inputting,0,0,0,3,1,0
diligent,0,0,0,5,1,4
attourneys,0,0,0,1,0,0
sponsored,0,0,0,1,0,0
aggravated,0,0,0,1,2,3
traumatized,0,0,0,1,0,0
disorganize,0,0,0,1,0,0
foregone,0,0,0,1,0,0
gradually,0,0,0,1,1,0
budgeted,0,0,0,2,1,0
clamor,0,0,0,1,0,0
collar,0,0,0,3,0,1
criminologist,0,0,0,1,0,0
curbing,0,0,0,1,0,0
messy,0,0,0,4,0,0
paucity,0,0,0,2,0,0
brilliant,0,0,0,1,1,0
judged,0,0,0,2,0,0
payemtns,0,0,0,1,0,0
sendthem,0,0,0,1,0,0
persistent,0,0,0,5,5,11
titel,0,0,0,1,0,0
escro,0,0,0,1,0,0
underwritter,0,0,0,2,0,0
sevicing,0,0,0,2,0,0
gotton,0,0,0,1,0,0
stearns,0,0,0,17,0,0
tihs,0,0,0,1,0,0
continuation,0,0,0,3,4,1
bonafide,0,0,0,1,0,0
legalize,0,0,0,1,0,0
convict,0,0,0,1,0,0
piranha,0,0,0,1,0,0
banckruptcy,0,0,0,1,0,1
y,0,0,0,1,0,0
pendency,0,0,0,2,1,0
offending,0,0,0,2,2,1
physcial,0,0,0,1,0,0
wet,0,0,0,4,2,6
secures,0,0,0,2,1,0
expropriation,0,0,0,1,0,0
unaffilated,0,0,0,1,0,0
expropriate,0,0,0,1,0,0
rushmore,0,0,0,42,1,0
ervices,0,0,0,1,0,0
jeopridise,0,0,0,1,0,0
reversely,0,0,0,1,0,0
dieum,0,0,0,1,0,0
venta,0,0,0,1,0,0
correlating,0,0,0,1,0,0
hesitant,0,0,0,2,2,1
junction,0,0,0,1,0,0
enacting,0,0,0,1,1,0
xiv,0,0,0,1,0,0
subtitle,0,0,0,1,2,0
depository,0,0,0,2,0,0
waif,0,0,0,1,1,0
clsoing,0,0,0,2,0,0
liquidity,0,0,0,2,0,0
coldwell,0,0,0,6,0,0
debating,0,0,0,2,0,0
sinned,0,0,0,1,0,0
lace,0,0,0,1,0,0
tarp,0,0,0,9,0,0
stonegate,0,0,0,16,0,0
cohort,0,0,0,3,0,0
myold,0,0,0,1,0,0
mycounty,0,0,0,1,0,0
installmentdue,0,0,0,1,0,0
bankwas,0,0,0,1,0,0
phonethat,0,0,0,1,0,0
usesa,0,0,0,1,0,0
myamount,0,0,0,1,0,0
thatthey,0,0,0,2,0,0
cansend,0,0,0,1,0,0
ispoke,0,0,0,1,0,0
customercustomer,0,0,0,1,0,0
thecounty,0,0,0,1,0,0
countyhas,0,0,0,1,0,0
toxxxx,0,0,0,1,1,1
notreceived,0,0,0,1,0,0
constantlycalled,0,0,0,1,0,0
onefrom,0,0,0,1,0,0
xxxxas,0,0,0,1,0,0
breather,0,0,0,1,0,0
forclose,0,0,0,9,0,0
forgivin,0,0,0,1,0,0
instatement,0,0,0,2,0,0
repost,0,0,0,2,0,1
misposted,0,0,0,2,0,0
misposting,0,0,0,1,0,0
bpo,0,0,0,30,1,0
repurchased,0,0,0,1,0,0
surgically,0,0,0,1,0,0
actuality,0,0,0,7,0,0
resp,0,0,0,2,0,0
reconveyed,0,0,0,1,0,0
possessionxxxx,0,0,0,1,0,0
mortages,0,0,0,1,0,0
reconveyances,0,0,0,1,0,0
fema,0,0,0,17,1,0
rescuer,0,0,0,1,0,0
nationalstar,0,0,0,1,0,0
bridge,0,0,0,7,5,0
paym,0,0,0,1,0,0
ent,0,0,0,2,1,0
ell,0,0,0,2,1,0
tatement,0,0,0,2,0,0
detach,0,0,0,1,0,0
contacte,0,0,0,2,0,0
statem,0,0,0,1,0,0
aga,0,0,0,1,1,0
ention,0,0,0,1,0,0
furthers,0,0,0,1,0,0
badgered,0,0,0,1,4,0
backpedaled,0,0,0,1,0,0
abjured,0,0,0,1,0,0
necessitates,0,0,0,1,0,0
censure,0,0,0,1,0,0
prepare,0,0,0,10,5,0
hinge,0,0,0,1,0,0
frantic,0,0,0,2,0,1
overbilled,0,0,0,1,0,0
lockbox,0,0,0,3,0,0
generation,0,0,0,3,0,0
janaury,0,0,0,1,0,0
fence,0,0,0,5,0,0
deck,0,0,0,3,0,0
jacuzzi,0,0,0,2,0,0
rust,0,0,0,1,1,0
forecloser,0,0,0,4,0,0
lam,0,0,0,1,0,0
displaced,0,0,0,9,0,0
homecoming,0,0,0,9,0,0
ballon,0,0,0,1,0,0
fricking,0,0,0,1,0,0
ruffly,0,0,0,1,0,0
sitituation,0,0,0,1,0,0
invovled,0,0,0,1,0,0
song,0,0,0,3,1,1
merry,0,0,0,2,0,0
fnance,0,0,0,1,0,0
refigure,0,0,0,1,0,0
mortga,0,0,0,2,0,0
ke,0,0,0,1,0,0
coordination,0,0,0,4,0,0
prep,0,0,0,1,0,0
explinatin,0,0,0,1,0,0
coordinate,0,0,0,7,0,0
couriered,0,0,0,1,0,0
cardinal,0,0,0,13,1,0
sebonic,0,0,0,14,0,0
narrative,0,0,0,2,0,0
deceivableness,0,0,0,1,0,0
bundled,0,0,0,2,10,0
aoviding,0,0,0,1,0,0
forcelosure,0,0,0,1,0,0
spoent,0,0,0,1,0,0
lwender,0,0,0,1,0,0
proiperty,0,0,0,1,0,0
franchise,0,0,0,1,0,0
sustaining,0,0,0,3,1,0
oriented,0,0,0,2,0,0
ligitation,0,0,0,1,0,0
proclaim,0,0,0,1,0,0
undercover,0,0,0,1,0,0
mortgagor,0,0,0,24,1,0
desease,0,0,0,1,0,0
forfiting,0,0,0,1,0,0
plese,0,0,0,1,1,0
righ,0,0,0,1,0,0
preditory,0,0,0,2,0,0
lendors,0,0,0,2,0,0
harerass,0,0,0,1,0,0
prp,0,0,0,1,0,0
kyhc,0,0,0,28,0,0
labled,0,0,0,2,0,0
dispursement,0,0,0,1,0,0
disp,0,0,0,2,0,1
forceplaced,0,0,0,1,0,0
requestes,0,0,0,1,0,0
leter,0,0,0,1,1,0
athorized,0,0,0,1,0,0
efuru,0,0,0,1,0,0
partally,0,0,0,1,0,0
initail,0,0,0,1,0,0
staes,0,0,0,1,0,0
neede,0,0,0,3,1,0
refresh,0,0,0,1,0,0
prolongs,0,0,0,2,0,0
autorized,0,0,0,1,0,0
severl,0,0,0,1,0,0
defacto,0,0,0,1,0,0
prequalification,0,0,0,2,0,0
submmited,0,0,0,1,0,0
affordability,0,0,0,4,0,0
cluster,0,0,0,2,0,0
preapproval,0,0,0,8,0,0
preapprove,0,0,0,2,0,0
nominee,0,0,0,4,2,0
qwrs,0,0,0,1,0,0
mu,0,0,0,2,0,1
undertook,0,0,0,1,0,0
cco,0,0,0,16,0,0
happed,0,0,0,2,0,0
comparables,0,0,0,4,0,0
blessing,0,0,0,3,0,1
sizable,0,0,0,2,0,0
amortizing,0,0,0,4,0,0
reversion,0,0,0,1,0,0
xxxxcaliber,0,0,0,1,0,0
charity,0,0,0,1,4,0
vir,0,0,0,1,0,0
misguiding,0,0,0,2,1,0
gphl,0,0,0,2,0,0
paymentsi,0,0,0,1,0,0
unaudited,0,0,0,1,0,0
unble,0,0,0,1,0,0
phl,0,0,0,12,0,0
basing,0,0,0,4,0,1
perpetuating,0,0,0,1,2,0
hhfp,0,0,0,1,0,0
upb,0,0,0,7,0,0
assesses,0,0,0,1,0,0
mediationon,0,0,0,1,0,0
modificationchase,0,0,0,1,0,0
transcribed,0,0,0,3,0,0
dayfor,0,0,0,1,0,0
quitclaim,0,0,0,12,0,0
cmi,0,0,0,19,1,0
contributor,0,0,0,5,0,0
rfi,0,0,0,8,0,0
residency,0,0,0,4,6,0
loe,0,0,0,4,0,0
loes,0,0,0,1,0,0
foregoing,0,0,0,3,4,2
petitioned,0,0,0,2,0,0
seasonally,0,0,0,2,0,0
attested,0,0,0,4,0,0
subjectivity,0,0,0,1,0,0
seasonal,0,0,0,6,0,0
objectively,0,0,0,1,0,0
determines,0,0,0,4,1,0
bypassing,0,0,0,1,0,0
mathematically,0,0,0,1,0,0
contingently,0,0,0,1,0,0
rectification,0,0,0,1,0,0
coerce,0,0,0,2,3,0
unquestionable,0,0,0,2,0,0
james,0,0,0,3,1,0
nutter,0,0,0,4,0,0
interacted,0,0,0,1,0,0
aurora,0,0,0,5,0,0
rebuts,0,0,0,1,0,0
remission,0,0,0,1,0,0
underhanded,0,0,0,5,4,2
meltdown,0,0,0,4,0,0
lip,0,0,0,1,0,1
asreckless,0,0,0,1,0,0
inflation,0,0,0,2,0,0
theability,0,0,0,1,0,0
rant,0,0,0,2,0,0
bankunited,0,0,0,4,0,0
med,0,0,0,1,8,0
builde,0,0,0,1,0,0
sfhdf,0,0,0,2,0,0
fo,0,0,0,3,1,2
map,0,0,0,15,0,1
hen,0,0,0,3,0,0
floodplain,0,0,0,1,0,0
surprisedly,0,0,0,1,0,0
disc,0,0,0,1,0,0
mischarged,0,0,0,1,0,0
landscaper,0,0,0,2,0,0
mers,0,0,0,6,1,0
seeminglly,0,0,0,1,0,0
distortion,0,0,0,1,0,0
distorts,0,0,0,1,0,0
decativated,0,0,0,1,0,0
sucess,0,0,0,1,0,0
repeatly,0,0,0,3,2,0
insursance,0,0,0,1,0,0
lasp,0,0,0,1,0,0
modificatin,0,0,0,2,0,0
neighborehood,0,0,0,1,0,0
statment,0,0,0,1,1,0
forebear,0,0,0,1,0,0
recasting,0,0,0,3,0,0
introduce,0,0,0,3,0,0
tin,0,0,0,1,0,0
ang,0,0,0,1,0,0
br,0,0,0,4,1,0
unpaired,0,0,0,1,0,0
paired,0,0,0,1,0,0
microfilm,0,0,0,1,0,0
massage,0,0,0,1,1,1
earmark,0,0,0,1,0,0
neverreceived,0,0,0,1,0,0
wasbecause,0,0,0,1,0,0
heardfrom,0,0,0,1,0,0
wouldcontact,0,0,0,1,0,0
undervalued,0,0,0,1,0,0
forgo,0,0,0,3,0,1
golden,0,0,0,2,0,0
scattered,0,0,0,4,0,1
hardwood,0,0,0,4,1,0
oppression,0,0,0,1,0,0
hafa,0,0,0,23,0,0
robosigned,0,0,0,1,0,0
defunct,0,0,0,8,10,2
disbarred,0,0,0,4,4,0
frabicating,0,0,0,1,0,0
mannual,0,0,0,1,0,0
fabricate,0,0,0,3,2,0
xxxxmet,0,0,0,1,0,0
chkg,0,0,0,1,0,0
mtg,0,0,0,27,1,0
ckg,0,0,0,1,0,0
represenatives,0,0,0,2,1,0
resolcve,0,0,0,1,0,0
axxxx,0,0,0,1,0,0
xxxxnow,0,0,0,1,0,0
offended,0,0,0,2,0,0
cornerstone,0,0,0,2,0,0
collapsed,0,0,0,1,0,2
skyrocket,0,0,0,1,0,0
portfoloio,0,0,0,1,0,0
servincing,0,0,0,1,0,0
fueled,0,0,0,1,0,1
ttached,0,0,0,1,0,0
hous,0,0,0,1,1,0
rece,0,0,0,1,0,0
ived,0,0,0,1,0,0
enquire,0,0,0,3,0,0
ired,0,0,0,1,0,0
wha,0,0,0,1,0,1
tever,0,0,0,1,0,0
roller,0,0,0,1,0,0
coaster,0,0,0,1,0,0
chxxxx,0,0,0,3,2,0
insures,0,0,0,1,0,0
tank,0,0,0,2,0,0
taxing,0,0,0,4,0,0
comforting,0,0,0,1,0,0
arises,0,0,0,3,0,1
rom,0,0,0,1,0,0
cuma,0,0,0,1,0,0
sinc,0,0,0,2,0,0
clos,0,0,0,1,0,0
crucially,0,0,0,1,0,0
embarked,0,0,0,1,0,0
enlist,0,0,0,1,0,0
catastrophe,0,0,0,1,0,0
telemarketers,0,0,0,1,1,0
empowered,0,0,0,3,0,0
enlisted,0,0,0,2,0,0
dialogue,0,0,0,4,2,0
contend,0,0,0,3,3,3
maddening,0,0,0,1,0,0
renovated,0,0,0,1,1,0
inhabited,0,0,0,1,0,0
vandalized,0,0,0,1,0,0
disarray,0,0,0,2,0,0
apathetic,0,0,0,1,0,0
rot,0,0,0,2,0,0
daunting,0,0,0,1,0,0
looming,0,0,0,5,0,0
accessibility,0,0,0,1,0,0
uncontrollably,0,0,0,2,0,0
receptionist,0,0,0,3,14,0
rattled,0,0,0,1,0,0
transmittal,0,0,0,1,3,0
recission,0,0,0,4,0,0
spiked,0,0,0,1,0,0
promulgated,0,0,0,2,0,0
simultaneous,0,0,0,2,0,1
hecm,0,0,0,5,0,0
lited,0,0,0,1,0,0
pe,0,0,0,1,0,0
eek,0,0,0,1,0,0
corr,0,0,0,1,0,0
ectly,0,0,0,1,0,0
wer,0,0,0,1,0,0
whi,0,0,0,1,0,0
diffuculties,0,0,0,1,0,0
bankrupcty,0,0,0,2,0,1
moorage,0,0,0,1,0,0
pretender,0,0,0,2,0,0
scum,0,0,0,3,0,0
obey,0,0,0,2,1,4
ocwenloan,0,0,0,1,0,0
drawdown,0,0,0,1,0,0
rescan,0,0,0,1,0,0
unwieldy,0,0,0,1,0,0
exed,0,0,0,1,0,0
tmscustomer,0,0,0,1,0,0
thereunder,0,0,0,1,0,0
understate,0,0,0,2,0,0
imprisoned,0,0,0,1,0,0
expir,0,0,0,1,0,0
whichever,0,0,0,8,3,0
subsection,0,0,0,1,19,19
railing,0,0,0,2,0,0
aggreement,0,0,0,3,0,0
entrance,0,0,0,1,1,1
adjacent,0,0,0,2,2,0
doored,0,0,0,1,0,0
reprimanded,0,0,0,3,1,1
reinstatment,0,0,0,2,0,0
unsettling,0,0,0,2,1,0
startup,0,0,0,1,0,0
blizzard,0,0,0,1,0,0
backdating,0,0,0,5,0,0
champion,0,0,0,11,1,0
gobbledy,0,0,0,1,0,0
gook,0,0,0,1,0,0
magic,0,0,0,1,1,0
conferring,0,0,0,2,0,0
deparment,0,0,0,1,0,0
streamlined,0,0,0,11,0,0
outsource,0,0,0,2,3,1
heartache,0,0,0,2,0,0
slogan,0,0,0,1,0,0
irst,0,0,0,1,0,0
ment,0,0,0,3,0,1
lorida,0,0,0,1,0,0
ev,0,0,0,1,0,0
unfaithful,0,0,0,1,0,0
fielded,0,0,0,2,0,0
advantaged,0,0,0,1,0,0
selen,0,0,0,1,0,0
evry,0,0,0,2,0,0
defered,0,0,0,2,0,0
owr,0,0,0,1,0,0
respone,0,0,0,1,0,0
proudly,0,0,0,2,0,0
pp,0,0,0,3,0,0
awareness,0,0,0,1,1,1
professing,0,0,0,1,0,0
penetrate,0,0,0,1,0,0
seldom,0,0,0,1,1,0
xxxxxxxxsummary,0,0,0,1,0,0
repetitively,0,0,0,2,2,0
conceal,0,0,0,5,3,0
xxxxforfeit,0,0,0,1,0,0
reportsletters,0,0,0,1,0,0
nationstarcourt,0,0,0,1,0,0
receiptfederal,0,0,0,1,0,0
disbursing,0,0,0,2,0,0
debris,0,0,0,2,0,0
tyhem,0,0,0,1,0,0
foreclosue,0,0,0,1,0,0
spokesperson,0,0,0,1,0,0
begfin,0,0,0,1,0,0
dshort,0,0,0,1,0,0
werer,0,0,0,1,0,0
filer,0,0,0,1,0,1
thzat,0,0,0,1,0,0
constanly,0,0,0,1,0,0
jigsaw,0,0,0,1,0,0
ditechs,0,0,0,1,0,0
proce,0,0,0,1,0,0
preservationist,0,0,0,2,0,0
toss,0,0,0,2,0,0
salaried,0,0,0,1,0,0
seam,0,0,0,3,1,0
cohesively,0,0,0,1,0,0
demoralizing,0,0,0,1,0,0
patronizing,0,0,0,1,0,0
faltered,0,0,0,2,0,0
runaway,0,0,0,1,0,0
infantile,0,0,0,1,0,0
condone,0,0,0,2,0,0
existance,0,0,0,1,0,0
naca,0,0,0,8,0,0
restarting,0,0,0,1,0,0
raw,0,0,0,2,0,1
statistic,0,0,0,2,0,0
satifaction,0,0,0,1,0,0
backburner,0,0,0,1,0,0
midigator,0,0,0,1,0,0
owcen,0,0,0,7,1,0
dive,0,0,0,2,0,1
borderline,0,0,0,3,3,0
sleeze,0,0,0,1,0,0
demo,0,0,0,1,2,0
prolonging,0,0,0,9,0,2
restoring,0,0,0,1,0,1
utahxxxx,0,0,0,1,0,0
hardcopy,0,0,0,1,1,0
dhi,0,0,0,7,0,0
encrypting,0,0,0,1,0,0
downloads,0,0,0,1,0,0
benifeit,0,0,0,1,0,0
elidgable,0,0,0,1,0,0
bankruptsy,0,0,0,3,1,1
bankruptsies,0,0,0,1,0,0
counsellor,0,0,0,1,0,0
entertain,0,0,0,2,2,0
vibration,0,0,0,1,1,0
chest,0,0,0,2,0,0
tho,0,0,0,6,0,1
contemptuous,0,0,0,1,0,0
grabbing,0,0,0,1,0,0
notepad,0,0,0,1,0,0
leaned,0,0,0,1,0,0
portrait,0,0,0,1,0,0
realizes,0,0,0,1,0,1
sneer,0,0,0,1,0,0
scoff,0,0,0,1,0,0
petting,0,0,0,1,0,0
shake,0,0,0,4,1,0
tr,0,0,0,1,0,0
recess,0,0,0,1,0,0
longe,0,0,0,1,0,0
unbiased,0,0,0,1,0,1
termite,0,0,0,4,1,0
infested,0,0,0,1,4,0
ofc,0,0,0,1,0,0
joist,0,0,0,1,0,0
subfloor,0,0,0,1,0,0
brass,0,0,0,1,0,0
vi,0,0,0,3,0,1
godsend,0,0,0,1,0,0
grasp,0,0,0,1,1,0
clearspring,0,0,0,11,0,0
abstractor,0,0,0,2,0,0
evp,0,0,0,1,0,0
radical,0,0,0,1,0,0
patronage,0,0,0,1,0,0
trough,0,0,0,2,2,1
huaband,0,0,0,1,0,0
defualt,0,0,0,1,0,0
pleae,0,0,0,2,0,0
alias,0,0,0,3,4,5
cia,0,0,0,1,0,0
mega,0,0,0,1,0,1
healed,0,0,0,1,0,0
healing,0,0,0,1,0,0
courtroom,0,0,0,1,2,1
medicare,0,0,0,2,3,2
cascaded,0,0,0,1,0,0
turnoff,0,0,0,1,0,0
reentered,0,0,0,1,0,0
copper,0,0,0,2,0,0
soldering,0,0,0,1,0,0
livable,0,0,0,5,0,0
uscfpb,0,0,0,3,0,1
ymortgage,0,0,0,1,0,0
xxxxxxxxhomerushmore,0,0,0,1,0,0
servicesphoto,0,0,0,1,0,0
centercurrent,0,0,0,1,0,0
outcurrent,0,0,0,1,0,0
informationloan,0,0,0,1,0,0
